"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"ASG","Arius sagor","Sagor catfish","",""
"ASH","Artemesia longinaris","Argentine stiletto shrimp","Crevette stylet d'Argentine","Camarón estilete argentino"
"ASI","Apristurus sinensis","South China catshark","Holbiche chuhu","Pejegato chino"
"ASJ","Aspidoparia jaya","","",""
"ASK","Squatinidae","Angelsharks, sand devils nei","Anges de mer nca","Angelotes, peces ángel nep"
"ASL","Neophoca cinerea","Australian sea lion","Lion de mer d'Australie","Lobo marino de Australia"
"ASM","Scomberomorus munroi","Australian spotted mackerel","Thazard australien","Carite australiano"
"ASN","Ascophyllum nodosum","North Atlantic rockweed","",""
"ASO","Apristurus spongiceps","Spongehead catshark","Holbiche tête molle","Pejegato esponjoso"
"ASP","Caspialosa spp","Caspian shads","Aloses de la mer Caspienne","Sábalos del Mar Caspio"
"ASQ","Simenchelys parasiticus","Snubnosed eel","",""
"ASR","Asparagopsis spp","Harpoon seaweeds","Algues harpon","Algas espárrago"
"AST","Astronotus spp","Velvety cichlids","","Acarahuazu"
"ASU","Aspius aspius","Asp","Aspe","Aspio"
"ASV","Asymbolus vincenti","Gulf catshark","Chien tasmanien","Pejegato de Tasmania"
"ASW","Apristurus verweyi","Borneo catshark","Holbiche malaise","Pejegato de Borneo"
"ASX","Apsilus dentatus","Black snapper","Vivaneau noir","Pargo mulato"
"ASY","Asymbolus analis","Australian spotted catshark","Chien tacheté","Pejegato de lunares"
"ASZ","Assurger anzac","Razorback scabbardfish","Poisson-sabre rasoir","Sable aserrado"
"ATA","Acapoeta tanganicae","","",""
"ATB","Atherina boyeri","Big-scale sand smelt","Joël","Pejerrey mediterráneo"
"ATC","Catostomus catostomus","Longnose sucker","",""
"ATD","Anodontiglanis dahli","","",""
"ATE","Catostomus tahoensis","Tahoe sucker","",""
"ATF","Astrodoras asterifrons","","",""
"ATG","Arctogadus glacialis","Artic cod","",""
"ATI","Ateleopus indicus","","",""
"ATJ","Chasmistes cujus","Cui-ui","",""
"ATK","Pleurogrammus azonus","Okhotsk atka mackerel","Terpuga arabesque de Okhotsk","Lorcha de Okhotsk"
"ATL","Acheilognathus limbatus","Oily bitterling","",""
"ATM","Atelomycterus macleayi","Australian marbled catshark","Chien marbré","Pejegato jaspeado"
"ATN","Acheilognathus melanogaster","","",""
"ATO","Catostomus commersoni","White sucker","",""
"ATP","Atherina presbyter","Sand smelt","",""
"ATQ","Atherina breviceps","Cape silverside","",""
"ATR","Acheilognathus rhombeus","","",""
"ATS","Catostomus latipinnis","Flannelmouth sucker","",""
"ATT","Acheilognathus tabira","","",""
"ATU","Catostomus macrocheilus","Largescale sucker","",""
"ATV","Arctogadus borisovi","East Siberian cod","",""
"ATW","Atopocottus tribranchius","","",""
"ATX","Actiniaria","Sea anemones","Actinies","Anémonas de mar"
"ATY","Atelomycterus marmoratus","Coral catshark","Chien corail","Pintarroja coralera"
"ATZ","Allodontichthys tamazulae","Tuxpan splitfin","",""
"AUA","Arius leptaspis","Salmon catfish","",""
"AUB","Auchenoglanis biscutatus","","",""
"AUC","Arius caelatus","Engraved catfish","",""
"AUD","Arius dussumieri","Blacktip sea catfish","",""
"AUE","Aspiolucius esocinus","Pike asp","",""
"AUF","Arius felis","Hardhead sea catfish","",""
"AUG","Arius gigas","Giant sea catfish","Mâchoiron géant","Bagre gigante"
"AUH","Aulopyge huegelii","Dalmatian barbelgudgeon","",""
"AUI","Arius arius","Threadfin sea catfish","",""
"AUJ","Arius jella","Blackfin sea catfish","",""
"AUK","Aulohalaelurus kanakorum","Kanakorum catshark","",""
"AUL","Aulohalaelurus labiosus","Australian blackspot catshark","Chien à taches noires","Pejegato estrellado"
"AUM","Aphyocharacidium melandetum","","",""
"AUN","Arius nasutus","Giant seacatfish","",""
"AUO","Auchenoglanis occidentalis","Bubu","",""
"AUP","Austropotamobius pallipes","White-clawed crayfish","Écrevisse à pattes blanches","Cangrejo a pinzas blancas"
"AUQ","Arius manillensis","","",""
"AUR","Arius latiscutatus","Rough-head sea catfish","",""
"AUS","Austroglanis sclateri","","",""
"AUT","Arius bilineatus","Bronze catfish","",""
"AUU","Abudefduf luridus","Canary damsel","",""
"AUV","Arius venosus","Veined catfish","",""
"AUW","Arius sona","Sona sea catfish","",""
"AUX","Arius thalassinus","Giant catfish","Mâchoiron titan","Bagre titán"
"AUY","Arius platystomus","Flatmouth sea catfish","",""
"AUZ","Agmus scabriceps","Bark catfish","",""
"AVA","Cetengraulis edentulus","Atlantic anchoveta","Anchois queue jaune","Anchoveta rabo amarillo"
"AVB","Archosargus rhomboidalis","Western Atlantic seabream","Rondeau brème","Sargo amarillo"
"AVC","Astropecten irregularis","","",""
"AVD","Aristeus virilis","Stout red shrimp","Gambon gaillard","Gambon colorado"
"AVE","Adventor elongatus","","",""
"AVF","Afromastacembelus flavidus","","",""
"AVG","Anseropoda placenta","","",""
"AVH","Aluterus heudelotii","Dotterel filefish","","Lija jaspeada"
"AVI","Acesta maui","Giant file shell","",""
"AVJ","Arachnopusia inchoata","","",""
"AVK","Austrodecus simulans","","",""
"AVL","Algansea lacustris","Pátzcuaro chub","","Acúmara"
"AVM","Ammodytes americanus","American sand lance","Lançon d'Amérique",""
"AVN","Aptocyclus ventricosus","Smooth lumpsucker","",""
"AVO","Anoplagonus inermis","Smooth alligatorfish","",""
"AVP","Andriashevia aptera","","",""
"AVQ","Acanthurus sohal","Sohal surgeonfish","",""
"AVR","Aprion virescens","Green jobfish","Vivaneau job","Pargo verde"
"AVS","Alepocephalus australis","Small scaled brown slickhead","",""
"AVT","Anotopterus vorax","Southern ocean daggertooth","",""
"AVU","Agonopsis vulsa","Northern spearnose poacher","",""
"AVV","Astrotoma agassizii","","",""
"AVW","Antennarius pardalis","","",""
"AVX","Atherina spp","Sand smelts nei","","Pejerreyes mediterráneos nep"
"AVY","Aprion spp","","",""
"AVZ","Asteronyx loveni","","",""
"AWA","Awaous aeneofuscus","","",""
"AWB","Gymnothorax bacalladoi","Canary moray","Murène canarienne","Murión"
"AWC","Astrothorax waitei","Waite’s snake-star","",""
"AWD","Andrias davidianus","Chinese giant salamander","",""
"AWE","Atractoscion aequidens","Geelbek croaker","Téraglin","Corvinata prieta"
"AWF","Acestrorhynchus microlepis","Pike characin","",""
"AWG","Gymnothorax afer","Dark moray","Murène obscure","Morena oscura"
"AWH","Acanthoplesiops hiatti","","",""
"AWI","Aluterus schoepfii","Orange filefish","Bourse orange","Lija naranja"
"AWJ","Arius parkii","Guinean sea catfish","Mâchoiron de Guinée","Bagre de Guinea"
"AWK","Serrivomer spp","Sawtooth eels nei","",""
"AWL","Antennarius striatus","Striated frogfish","","Ranisapo estriado"
"AWM","Enchelycore anatina","Fangtooth moray","Murène des îles","Morena isleña"
"AWN","Artedidraco loennbergi","","",""
"AWO","Artedidraco orianae","","",""
"AWP","Aspistor parkeri","Gillbacker sea catfish","Mâchoiron jaune","Bagre amarillo"
"AWQ","Awaous lateristriga","West African freshwater goby","",""
"AWR","Amphiarius rugispinis","Softhead sea catfish","Mâchoiron petite-gueule","Bagre tumbeló"
"AWS","Artedidraco shackletoni","","",""
"AWT","Chalcalburnus tarichi","Tarek","",""
"AWU","Acanthopagrus arabicus","Arabian yellowfin seabream","",""
"AWX","Arius spp","","",""
"AWY","Arius phrygiatus","Kukwari sea catfish","Mâchoiron kukwari","Bagre mucuro"
"AWZ","Anodus elongatus","","",""
"AXA","Axoclinus carminalis","Carmine triplefin","",""
"AXB","Cancelloxus burrelli","Slender platanna-klipfish","",""
"AXC","Xenodermichthys copei","Bluntsnout smooth-head","",""
"AXD","Aplocheilus panchax","Blue panchax","",""
"AXE","Ammocryptocharax elegans","","",""
"AXF","Astyanax fasciatus","Banded astyanax","","Colirroja"
"AXG","Carcinoplax longimanus","Long-armed crab","",""
"AXH","Sargocentron hastatum","Red squirrelfish","Marignan rouge","Candil africano"
"AXI","Axelrodia riesei","","",""
"AXJ","Ascidia challengeri","","",""
"AXK","Austropallene brachyura","","",""
"AXL","Acanthosphex leurynnis","","",""
"AXM","Asymbolus spp","","",""
"AXN","Paralabrax nebulifer","Barred sand bass","",""
"AXO","Axiopsis baronai","Baron mud lobster","Langouste poilue du baron","Langosta peluda del baron"
"AXP","Arius proops","Crucifix sea catfish","Mâchoiron crucifix","Bagre piedrero"
"AXQ","Acanthurus spp","","",""
"AXR","Aristeus spp","Aristeus shrimps nei","Crevettes Aristeus nca","Camarones Aristeus nep"
"AXS","Asterropteryx ensiferus","Miller's damsel","",""
"AXT","Stylasteridae","Hydrocorals","Hydrocoralliaires","Corales de encaje"
"AXU","Aplidiopsis discoveryi","","",""
"AXV","Oreochromis andersonii x O. niloticus","","",""
"AXY","Aphyocharax erythrurus","Flametail tetra","",""
"AXZ","Gymnothorax spp","","",""
"AYA","Euastacus armatus","Australian crayfish","Écrevisse d'Australie","Cangrejo de río de Australia"
"AYB","Asterophysus batrachus","","",""
"AYC","Chologaster cornuta","Swampfish","",""
"AYD","Bathyprion danae","Fangtooth smooth-head","",""
"AYE","Apterygocampus epinnulatus","","",""
"AYF","Aphareus furca","Small toothed jobfish","Vivaneau tidents","Pargo boquidulce"
"AYG","Anyperodon leucogrammicus","Slender grouper","Mérou élégant","Mero elegante"
"AYH","Aphyocypris chinensis","Chinese bleak","",""
"AYI","Daysciaena albida","Bengal corvina","",""
"AYJ","Amblypomacentrus breviceps","Black-banded demoiselle","",""
"AYK","Trachemys scripta","Common slider","",""
"AYL","Auchenipterichthys longimanus","","",""
"AYM","Bathytroctes microlepis","Smallscale smooth-head","",""
"AYN","Bathylaco nielseni","","",""
"AYP","Ammocrypta clara","Western sand darter","",""
"AYQ","Ameghinomya antiqua","King's littleneck","",""
"AYR","Acyrtus artius","Papillate clingfish","",""
"AYS","Astacidae, Cambaridae","Euro-American crayfishes nei","Écrevisses euro-américain. nca","Cangrejos de río nep"
"AYT","Allomycterus pilatus","Deep-water burrfish","",""
"AYU","Ammocrypta pellucida","Eastern sand darter","",""
"AYV","Aphyonus brevidorsalis","","",""
"AYW","Malaclemys terrapin","Diamondback terrapins","",""
"AYX","Acanthicus hystrix","","",""
"AYY","Acyrtops beryllinus","Emerald clingfish","",""
"AYZ","Austrolycus depressiceps","","",""
"AZA","Anduzedoras arleoi","","",""
"AZB","Chlopsis olokun","","",""
"AZC","Acanthogorgia armata","","",""
"AZD","Antarcturus oryx","","",""
"AZE","Azurina eupalama","Galapagos damsel","",""
"AZF","Conocara macropterum","Longfin smooth-head","",""
"AZG","Argobuccinum argus","","","Caracol palo palo"
"AZH","Anaecypris hispanica","","","Jarabugo"
"AZI","Ijimaia loppei","Loppe's tadpole fish","Atéléopode de Loppe","Pata de pulpo"
"AZJ","Arcturides cornutus","","",""
"AZK","Bathytroctes michaelsarsi","Michael Sars smooth-head","",""
"AZL","Acodontaster elongatus","","",""
"AZM","Leptoderma macrops","Grenadier smooth-head","",""
"AZN","Anthoathecatae","Hydroids, hydromedusae","",""
"AZO","Aciculites pulchra","Maroon pimpled ear sponge","",""
"AZP","Azygopus pinnifasciatus","Banded-fin flounder","",""
"AZQ","Callyspongia ramosa","Airy finger sponge","",""
"AZR","Acestrorhynchidae","","",""
"AZS","Aspistor quadriscutis","Bressou sea catfish","Mâchoiron bressou","Bagre bresú"
"AZT","Artedidraco mirus","","",""
"AZU","Einara macrolepis","Loosescale smooth-head","",""
"AZV","Atherina lopeziana","","",""
"AZX","Aphareus spp","","",""
"AZZ","Antennarius indicus","Indian frogfish","",""
"BAA","Bathylagus antarcticus","","",""
"BAB","Sphyraena qenie","Blackfin barracuda","",""
"BAC","Sphyraena jello","Pickhandle barracuda","Bécune jello","Picuda serpentina"
"BAD","Austrobatrachus dussumieri","Flat toadfish","",""
"BAE","Balaenopteridae","Balaenoptid whales nei","","Rorcuales nep"
"BAF","Ablennes hians","Flat needlefish","Orphie plate","Agujón sable"
"BAG","Sphyraena afra","Guinean barracuda","Bécune guinéenne","Espetón de Guinea"
"BAH","Paralichthys olivaceus","Bastard halibut","Cardeau hirame","Falso halibut del Japón"
"BAI","Batoidimorpha (Hypotremata)","Batoid fishes nei","Batoïdes nca","Peces batoideos nep"
"BAJ","Lateolabrax japonicus","Japanese seabass","Bar du Japon","Serránido japonés"
"BAK","Barbuligobius boehlkei","","",""
"BAL","Hemiramphus brasiliensis","Ballyhoo halfbeak","Demi-bec brésilien","Agujeta brasileña"
"BAM","Bathyraja maccaini","McCain's skate","Raie de McCain","Raya de McCain"
"BAN","Sphyraena putnamae","Sawtooth barracuda","Bécune chevronnée",""
"BAO","Platax teira","Longfin batfish","",""
"BAP","Paralabrax humeralis","Peruvian rock seabass","Serran cabrilla","Cabrilla loca"
"BAQ","Sphyraena flavicauda","Yellowtail barracuda","",""
"BAR","Sphyraena spp","Barracudas nei","Bécunes nca","Picudas nep"
"BAS","Serranus spp","Combers nei","Serrans nca","Serranos nep"
"BAT","Platax spp","Batfishes","Poules d'eau","Dalapuganos"
"BAU","Sarda australis","Australian bonito","Bonite bagnard","Bonito austral"
"BAV","Bractechlamys vexillum","Distant scallop","Pétoncle étendard",""
"BAW","Berardius arnuxii","Arnoux's beaked whale","Béradien d'Arnoux","Ballenato de Arnoux"
"BAX","Paralichthys spp","Bastard halibuts nei","Cardeaux nca","Falsos halibuts nep"
"BAY","Amphichthys cryptocentrus","Bocon toadfish","Crapaud goulu","Sapo bocón"
"BAZ","Sphyraenidae","Barracudas, etc. nei","Bécunes, barracudas, nca","Barracudas, picudas, nep"
"BBA","Barbonymus altus","Red tailed tinfoil","",""
"BBB","Barbus bynni","","",""
"BBC","Barboides gracilis","","",""
"BBD","Batrachomoeus occidentalis","Western frogfish","",""
"BBE","Bathylagus euryops","Goiter blacksmelt","",""
"BBF","Barbourisia rufa","Velvet whalefish","",""
"BBG","Bathylagus gracilis","","",""
"BBH","Alosa aestivalis","Blueback shad","Alose d'été du Canada","Sábalo del Canadá"
"BBI","Barbus altidorsalis","","",""
"BBJ","Barbus capensis","Clanwilliam yellowfish","",""
"BBK","Barbus callensis","Algerian barb","",""
"BBL","Batrachoides liberiensis","Hairy toadfish","",""
"BBM","Scomberomorus semifasciatus","Broad-barred king mackerel","Thazard tigré","Carite tigre"
"BBN","Barbus aeneus","Smallmouth yellowfish","",""
"BBO","Bathylagus ochotensis","Eared blacksmelt","",""
"BBP","Bathylagus pacificus","Slender blacksmelt","",""
"BBQ","Barbus canis","","",""
"BBR","Barbodes balleroides","","",""
"BBS","Scorpaena porcus","Black scorpionfish","Rascasse brune","Rascacio"
"BBT","Barbodes platysoma","","",""
"BBU","Barbus altianalis","Ripon barbel","",""
"BBV","Barbopsis devecchii","Somalian blind barb","",""
"BBW","Mesoplodon densirostris","Blainville's beaked whale","Baleine à bec de Blainville","Zifio de Blainville"
"BBX","Bifax lacinia","Two-faced toadfish","",""
"BBY","Batrichthys albofasciatus","White-ribbed toadfish","",""
"BBZ","Barbus cyclolepis","","",""
"BCA","Chandramara chandramara","","",""
"BCB","Odontesthes bonariensis","Argentinian silverside","Athérine d'Argentine","Pejerrey de Argentina"
"BCC","Bryconaethiops boulengeri","","",""
"BCE","Brycinus leuciscus","","",""
"BCF","Bothrocarina microcephala","","",""
"BCG","Chrysichthys grandis","Kukumai","",""
"BCH","Chatrabus damaranus","Pony toadfish","",""
"BCI","Chrysichthys cranchii","Kokuni","",""
"BCJ","Chrysichthys ornatus","Ornate bagrid","",""
"BCK","Baileychromis centropomoides","","",""
"BCL","Saxidomus giganteus","Butter clam","Coque jaune","Almeja amarilla"
"BCM","Brycon moorei","Dorada","",""
"BCN","Chrysichthys longipinnis","Aluminum catfish","",""
"BCO","Brycinus longipinnis","Longfin tetra","",""
"BCP","Buccinum humphreysianum","Humphrey's buccinum","Buccin d'Humphrey","Caracolillo de Humphrey"
"BCQ","Bactronophorus thoracites","Edible shipworm","Taret comestible",""
"BCR","Chrysichthys brachynema","Kibonde","",""
"BCS","Chrysichthys mabusi","","",""
"BCT","Chrysichthys maurus","","",""
"BCU","Brycinus luteus","","",""
"BCV","Bathymicrops brevianalis","","",""
"BCW","Ziphius cavirostris","Cuvier's beaked whale","Ziphius","Zifio de Cuvier"
"BCX","Clypeaster rotundus","Circular sea bisquit","Galette de mer circulaire","Galleta de mar redonda"
"BCY","Chrysichthys auratus","","",""
"BCZ","Bostrichthys zonatus","Barred gudgeon","",""
"BDA","Brachydanio acuticephala","","",""
"BDB","Badis badis","Badis","",""
"BDC","Bidenichthys capensis","Freetail brotula","",""
"BDD","Daector dowi","Dow's toadfish","",""
"BDE","Bodianus eclancheri","Harlequin wrasse","",""
"BDF","Benthodesmus macrophthalmus","Bigeye frostfish","Poisson-sabre gros yeux","Cintilla ojigrande"
"BDG","Boridia grossidens","Borriqueta porgy","",""
"BDH","Bathydraco macrolepis","","",""
"BDI","Bodianus diplotaenia","Mexican hogfish","",""
"BDJ","Bathydraco marri","Deep-water dragon","",""
"BDK","Balistoides conspicillum","Clown triggerfish","",""
"BDL","Benthodesmus elongatus","Elongate frostfish","Poisson-sabre long","Cintilla elongada"
"BDM","Pogonias cromis","Black drum","Grand tambour","Corvinón negro"
"BDN","Bathydraco antarcticus","","",""
"BDO","Blennodon dorsale","Giant triplefin","",""
"BDP","Brosmodorsalis persicinus","Pink brotula","",""
"BDQ","Bodianus axillaris","Axilspot hogfish","Labre à tache pectorale",""
"BDR","Bodianus rufus","Spanish hogfish","",""
"BDS","Betta splendens","Siamese fighting fish","",""
"BDT","Bodianus perditio","Golden-spot hogfish","Labre de la perdition",""
"BDU","Bathypterois dubius","Spiderfish","",""
"BDV","Bohadschia vitiensis","Brown sandfish","Holothurie brune",""
"BDW","Mesoplodon bowdoini","Andrews' beaked whale","Baleine à bec de Bowdoin","Zifio de Andrews"
"BDX","Bohadschia similis","Brownspotted sandfish","",""
"BDY","Bodianus spp","","",""
"BDZ","Balistoides viridescens","Titan triggerfish","Baliste olivâtre",""
"BEA","Bathyraja eatonii","Eaton's skate","Raie d'Eaton","Raya de Eaton"
"BEB","Bagre bagre","Coco sea catfish","",""
"BEC","Bagre pinnimaculatus","Red sea catfish","",""
"BED","Bertella idiomorpha","","",""
"BEE","Benthalbella elongata","","",""
"BEF","Belonepterygion fasciolatum","","",""
"BEG","Pterygotrigla polyommata","Latchet(=Sharpbeak gurnard)","Grondin pointu","Cabete picudo"
"BEH","Benthodesmus spp","Frostfishes","",""
"BEI","Bagre panamensis","Chilhuil sea catfish","",""
"BEJ","Boulengerochromis microlepis","Giant cichlid","",""
"BEK","Blennioclinus brachycephalus","Lace klipfish","",""
"BEL","Delphinapterus leucas","White whale","Bélouga","Beluga"
